Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
bookUnnaturalSpeedDesc,items,perk book,,,"Thin, oily mixure of genetic material, contains feline blood.\n\nRequires: 10 Agility",,,,,,,,,,,,由遗传物质混合而成的薄而油的混合物，含有猫科动物的血液。需要敏捷10级,,
bookBerserker,items,perk book,,,"Weird Thick Fluid",,,,,,,,,,,,奇怪的粘稠液体,,
bookBerserkerDesc,items,perk book,,,"Thick red sludge of genetic material, comprised of bear liver.\n\nRequires: 10 Strength",,,,,,,,,,,,由熊肝组成的厚厚的红色污泥。需要力量10级,,
bookZanshin,items,perk book,,,"Enigmatic Sparkling Fluid",,,,,,,,,,,,神秘的闪耀液体,,
bookZanshinDesc,items,perk book,,,"Metallic yellow suspension of genetic material, made from dire wolf intraocular fluid.\n\nRequires: 10 Perception",,,,,,,,,,,,金属黄色悬浮的遗传物质，由可怕的狼眼内的流体制成。需要感知10级,,
bookNaturalArmor,items,perk book,,,"Strange Clotting Fluid",,,,,,,,,,,,奇怪的凝固液,,
bookNaturalArmorDesc,items,perk book,,,"Viscuous purple elixir of genetic material, smells like bacon and burnt hooves.\n\nRequires: 10 Fortitude",,,,,,,,,,,,由遗传物质制成的粘性紫色长生不老药，闻起来像熏肉和烧焦的蹄子。需要强健10级,,
resourceMutagen,items,mutagen,,,"Experimental Mutagen",,,,,,,,,,,,实验诱变剂,,
resourceMutagenDesc,items,mutagen,,,"A small ampule of a nasty, bitter-smelling substance.  Highly experimental, which means you should try experimenting with it.",,,,,,,,,,,,一种难闻的、有苦味的物质，你应该尝试一下。,,
MutantCoyoteParts,items,mutagen,,,"Mutant Coyote Parts",,,,,,,,,,,,变异巨狼躯体的一部分,,
MutantBearParts,items,mutagen,,,"Mutant Bear Parts",,,,,,,,,,,,变异熊躯体的一部分,,
MutantCatParts,items,mutagen,,,"Mutant Cat Parts",,,,,,,,,,,,变异狮躯体的一部分,,
MutantDireWolfParts,items,mutagen,,,"Mutant Dire Wolf Parts",,,,,,,,,,,,变异郊狼躯体的一部分,,
MutantBoarParts,items,mutagen,,,"Mutant Boar Parts",,,,,,,,,,,,变异野猪躯体的一部分,,
qc_challenge_mutantBear,items,Quest - Challenge,,,"Bounty: Mutant Bear",,,,,,,,,,,,赏金：变异变异熊,,
challenge_mutantBear1,Quest,Challenge Info,,,"Bounty: Locate Bear Pack",,,,,,,,,,,,赏金：找到变异熊,,
challenge_mutantBear2,Quest,Challenge Info,,,"Bounty: Destroy Bear Pack",,,,,,,,,,,,赏金：消灭变异熊,,
challenge_mutantBear3,Quest,Challenge Info,,,"Bounty: Kill the Mutant Bear",,,,,,,,,,,,赏金：杀死变异熊,,
challenge_mutantBear_offer,Quest,Challenge Info,,,"Hey Survivor,\nI've heard rumors that a mutant bear has been wandering the landscape near here.  Bears are dangerous enough as it is, we don't need no mutant ones wreckin' the place.\n\nGet out there and kill that thing before it gets any stronger.",,,,,,,,,,,,嗨，幸存者，我听说有一只变异熊在附近的森林中游荡.熊已经够危险的了，我们不需要变异的熊来破坏这个地方，出去，在它变得更强壮之前杀死它。,,
challenge_mutantBear_subtitle,Quest,Challenge Info,,,"Investigate the site of nearby bear attacks",,,,,,,,,,,,调查附近的熊袭击地点,,
challenge_mutantBear_subtitle2,Quest,Challenge Info,,,"Continue tracking the mutant bear",,,,,,,,,,,,继续追踪变异熊,,
challenge_mutantBear_subtitle3,Quest,Challenge Info,,,"Kill the mutant bear and save Trader Jen",,,,,,,,,,,,杀死变异熊和拯救交易员珍,,
challenge_mutantBear_completion,Quest,Challenge Info,,,"Hey, you were just in time.  Thanks the assist.  Do you need buy some meds to fix up your face?",,,,,,,,,,,,嘿，谢谢你的帮助，你需要买一些药物来修复你的脸?,,
qc_challenge_mutantBoar,items,Quest - Challenge,,,"Bounty: Mutant Boar",,,,,,,,,,,,赏金：变异野猪,,
challenge_mutantBoar1,Quest,Challenge Info,,,"Bounty: Locate Boar Pack",,,,,,,,,,,,赏金：找到变异野猪,,
challenge_mutantBoar2,Quest,Challenge Info,,,"Bounty: Destroy Boar Pack",,,,,,,,,,,,赏金：消灭变异野猪,,
challenge_mutantBoar3,Quest,Challenge Info,,,"Bounty: Kill the Mutant Boar",,,,,,,,,,,,赏金：杀死变异野猪,,
challenge_mutantBoar_offer,Quest,Challenge Info,,,"Hey Survivor,\nI've heard rumors that a mutant boar has been eating up all the crops near here.  Boars can be dangerous enough with them big ole tusks, we don't need no mutant ones eatin' up the place.\n\nGet out there and kill that thing before it eats us out of house and home.",,,,,,,,,,,,嗨，幸存者，我听说有传言说一头变异野猪已经吃掉了附近所有的庄稼，野猪长着巨大的獠牙已经够危险的了，我们不能要变异的野猪把我们的食物吃掉，出去，在它把我们赶出家园之前把它杀死。,,
challenge_mutantBoar_subtitle,Quest,Challenge Info,,,"Investigate the site of nearby boar attacks",,,,,,,,,,,,调查站点附近的野猪攻击,,
challenge_mutantBoar_subtitle2,Quest,Challenge Info,,,"Search nearby for the mutant boar",,,,,,,,,,,,继续追踪变异野猪,,
challenge_mutantBoar_subtitle3,Quest,Challenge Info,,,"Destory the mutant boar and save Trader Joel",,,,,,,,,,,,杀死变异熊和拯救交易员乔尔,,
challenge_mutantBoar_completion,Quest,Challenge Info,,,"Thanks, survivor!  I really appreciate you helpin' me out there.  It looked pretty grim for a minute.",,,,,,,,,,,,"谢谢，幸存者！ 我真的很感激你帮我，他看起来相当严峻。,,
qc_challenge_mutantDireWolf,items,Quest - Challenge,,,"Bounty: Mutant Dire Wolf",,,,,,,,,,,,赏金：变异巨狼,,
challenge_mutantDireWolf1,Quest,Challenge Info,,,"Bounty: Locate Wolf Pack",,,,,,,,,,,,赏金：找到变异巨狼,,
challenge_mutantDireWolf2,Quest,Challenge Info,,,"Bounty: Destroy Wolf Pack",,,,,,,,,,,,赏金：消灭变异巨狼,,
challenge_mutantDireWolf3,Quest,Challenge Info,,,"Bounty: Kill the Mutant Dire Wolf",,,,,,,,,,,,赏金：杀死变异巨狼,,
challenge_mutantDireWolf_offer,Quest,Challenge Info,,,"Hey Survivor,\nI've heard rumors that a mutant dire wolf has been scavenging near here.  Them dang wolves are a nuisance as it is, we don't need no mutant ones stalking us when we ain't expectin' it.\n\nGet out there and kill that thing before it takes someone else's head off.",,,,,,,,,,,,嘿，幸存者，我听说有一只变异的狼在附近觅食，狼是一种令人讨厌的东西，我们不需要变异的狼在我们没有防备的情形下袭击我们，出去，在它夺走别人的头之前杀死它。,,
challenge_mutantDireWolf_subtitle,Quest,Challenge Info,,,"Examine the house that reported an unusual wolf pack",,,,,,,,,,,,检查报告变异狼群的房子,,
challenge_mutantDireWolf_subtitle2,Quest,Challenge Info,,,"Stalk the wolf pack toward its den",,,,,,,,,,,,跟踪狼群走向它的巢穴,,
challenge_mutantDireWolf_subtitle3,Quest,Challenge Info,,,"Slay mutant dire wolf packleader, and save Trader Bob",,,,,,,,,,,,杀死变异可怕的狼群头目， 并拯救商人鲍勃。,,
challenge_mutantDireWolf_completion,Quest,Challenge Info,,,"Wow, that was a close one.  Got in over my head there.  Guess that's why I got out of adventuring.  That and the arrow I took to the knee.",,,,,,,,,,,,哇，真是一个很危险的事情，从我头上飞了过去，我想这就是为什么我不去冒险了。,,
qc_challenge_mutantCat,items,Quest - Challenge,,,"Bounty: Mutant Mountain Lion",,,,,,,,,,,,赏金：变异狮,,
challenge_mutantCat1,Quest,Challenge Info,,,"Bounty: Locate Lion Pack",,,,,,,,,,,,赏金：找到变异狮,,
challenge_mutantCat2,Quest,Challenge Info,,,"Bounty: Destroy Lion Pack",,,,,,,,,,,,赏金：消灭变异狮,,
challenge_mutantCat3,Quest,Challenge Info,,,"Bounty: Kill the Mutant Mountain Lion",,,,,,,,,,,,赏金：杀死变异狮,,
challenge_mutantCat_offer,Quest,Challenge Info,,,"Hey Survivor,\nI've heard rumors that a mutant mountain lion has been stalking survivors near here.  Them blasted cats are a menace already, we don't need no mutant ones slinkin' into our town.\n\nGet out there and kill that thing before it starts snatchin' babies from their cradles.",,,,,,,,,,,,嗨，幸存者，我听说有一只变异狮子一直在附近跟踪幸存者，那些狮子已经是一种威胁，我们不需要变异的狮子潜入我们的城镇，在它开始从摇篮里抢走婴儿之前，把它杀死。,,
challenge_mutantCat_subtitle,Quest,Challenge Info,,,"Investigate the aftermath of the mountain lion attacks",,,,,,,,,,,,调查变异狮袭击事件的前因后果,,
challenge_mutantCat_subtitle2,Quest,Challenge Info,,,"Check the area for more mountain lions",,,,,,,,,,,,调查一下这个地区有没有更多的变异狮,,
challenge_mutantCat_subtitle3,Quest,Challenge Info,,,"Slay the mutant mountain lion, and save Trader Hugh",,,,,,,,,,,,杀死变异狮和拯救商人休,,
challenge_mutantCat_completion,Quest,Challenge Info,,,"Hmmph, why you interferin' in my kills there, bucko?  I had it under control.  Just a big 'ole pussycat, that's all.",,,,,,,,,,,,哼，你为什么要干涉我在那里的杀戮，我控制住了，只不过是只大猫咪而已。,,
qc_challenge_mutantCoyote,items,Quest - Challenge,,,"Bounty: Mutant Coyote",,,,,,,,,,,,赏金：变异郊狼,,
challenge_mutantCoyote1,Quest,Challenge Info,,,"Bounty: Locate Coyote Pack",,,,,,,,,,,,赏金：追踪变异郊狼,,
challenge_mutantCoyote2,Quest,Challenge Info,,,"Bounty: Destroy Coyote Pack",,,,,,,,,,,,赏金：消灭变异郊狼,,
challenge_mutantCoyote3,Quest,Challenge Info,,,"Bounty: Kill the Mutant Coyote",,,,,,,,,,,,赏金：杀死变异郊狼,,
challenge_mutantCoyote_offer,Quest,Challenge Info,,,"Hey Survivor,\nI've heard rumors that a mutant coyote has been hunting near here.  What's worse, folks been sayin' this one is so smart, it learnt to start fires even without hands, and its been burnin' down houses to steal food.\n\nGet out there and kill that thing before it cooks up some more long pig BBQ.",,,,,,,,,,,,嘿，幸存者，我听说有谣言说一只变异的郊狼在附近打猎，更糟糕的是，人们一直说它很聪明，它学会了生火，即使没有手，它也会烧毁房子来偷食物，出去杀了那东西，然后再煮一些烧烤。,,
challenge_mutantCoyote_subtitle,Quest,Challenge Info,,,"Check for survivors of the recent coyote attacks",,,,,,,,,,,,调查最近狼袭击的幸存者,,
challenge_mutantCoyote_subtitle2,Quest,Challenge Info,,,"Thin the coyote pack before going after the mutant coyote",,,,,,,,,,,,在追杀变异郊狼之前，先把狼群解决掉。,,
challenge_mutantCoyote_subtitle3,Quest,Challenge Info,,,"Face the mutant coyote, end the pack, and save Trader Rekt",,,,,,,,,,,,杀死变异郊狼和拯救商人雷克”,,
challenge_mutantCoyote_completion,Quest,Challenge Info,,,"What the hell is wrong with you?  That was my bounty!  I hope you don't think you're gonna get a discount after that!",,,,,,,,,,,,你到底怎么了？那是我的赏金！我希望你不会认为在那之后你会得到折扣！,,
qc_MutantBountyGroupDesc,Quest,Challenge Info,,,"A bounty for experienced bounty hunters.  It describes a sighting of a mutant creature nearby, and promises valuable rewards for its death.",,,,,,,,,,,,给有经验的赏金猎人的赏金，它描述了在附近看到一个变异生物，并承诺对它的死亡给予有价值的奖励。,,
resourceUnpoweredHomingBeacon,items,mutagen,,,"Unpowered Homing Device",,,,,,,,,,,,未通电的定位设备,,
resourceUnpoweredHomingBeaconDesc,items,mutagen,,,"Needs a battery",,,,,,,,,,,,需要电池,,
qc_HomingBeacon,items,Quest - Challenge,,,"Homing Device",,,,,,,,,,,,定位设备,,
qc_HomingBeaconDesc,items,Quest - Challenge,,,"Detects a homing beacon with a specific broadcast signature.",,,,,,,,,,,,检测具有特定广播签名的定位信标。,,
mutagen_fetch_clear,Quest,Quest Info,,,"Fetch Device and Clear the Location",,,,,,,,,,,,提取设备并清除位置,,
mutagen_fetch_clear_completion,Quest,Quest Info,,,"Amazing!  You actually found it?  Hmm, what IS that?  Reckon I don't want to touch that; it looks mighty dangerous.  I was hoping for some useful tech or weapons, not this... whatever that stuff is.\n\nTell you what, you jus' keep it.  An' git it outta my store before you infect my other customers.",,,,,,,,,,,,惊人！ 你真的追踪了？ 嗯， 那是什么？ 我不想碰那个，看起来非常危险，我希望有一些有用的技术或武器， 而不是这个...不管那些东西是什么，告诉你吧，你留着它，在你感染我和其他顾客之前， 把它从我的店里弄出去。,,
mutagen_fetch_clear_offer,Quest,Quest Info,,,"Activate the homing device, find your way to the location, clear out any nearby zombies, and find that experimental device.\n\n",,,,,,,,,,,,激活定位设备，追踪您前往该位置的路，清除附近的僵尸，并提取实验设备。,,
mutagen_fetch_clear_subtitle,Quest,Quest Info,,,Clear the Area and Retrieve the Device.,,,,,,,,,,,,清除区域并检索设备。,,
mutagen_fetch_clear_description,Quest,Quest Info,,,"Locate the Experimental Device and Return it to the Trader",,,,,,,,,,,,追踪实验设备并返还给交易者,,
quest_tier5_buried_military_secrets,Quest,Quest Info,,,Buried Military Secrets,,,,,,,,,,,,埋藏军事机密,,
quest_tier5_buried_military_secrets_completion,Quest,Quest Info,,,"Well I'll be danged.  Listen up, 'cause I'm only gonna say this once.  That there is a homing device for a sophisticated homing beacon.  Definitely military.\n\nYou'll need to find a way to power this thing up, and follow it where it leads ya.  Now go find whatever weapon the military been developin'!",,,,,,,,,,,,好吧，我会被吊死的，听着，因为我只想说一次，有一个精密的定位装置，绝对是军事上的，你需要追踪一种方法来给这个东西充电，然后跟着它走到你的地方，现在去寻找军队研制的武器吧！,,
quest_tier5_buried_military_secrets_description,Quest,Quest Info,,,"Head to the marked location and dig up the device. The marked location may not be entirely accurate. Once you find it, bring the device back to me and keep anything else you find.",,,,,,,,,,,,前往标记位置，挖掘设备，标记的位置可能不完全准确.一旦你追踪了，就把它还给我，把你追踪的任何东西都留下。,,
quest_tier5_buried_military_secrets_response,Quest,Quest Info,,,Buried Military Secrets ([DECEA3]{treasure.distance} {treasure.direction}[-]),,,,,,,,,,,,埋藏的军事机密,,
quest_tier5_buried_military_secrets_statement,Quest,Quest Info,,,Find the buried supplies.,,,,,,,,,,,,追踪埋藏的补给,,
quest_tier5_buried_military_secrets_subtitle,Quest,Quest Info,,,Find the Buried Supplies,,,,,,,,,,,,追踪埋藏的补给,,
quest_tier5_buried_military_secrets_offer,Quest,Quest Info,,,"A few days ago, a scout of mine brought in a nearly-dead scientist.  Poor bugger died, but I was able to speak with him before he did.  He was half-mad, raving 'bout some experiment he'd been workin' on when the outbreak happened.  Swore he knew it was comin' and was workin' on a way to fight the zombies!  He buried a device that could lead someone to the disguised military installation.\n\nSurvivor, we can't pass this up.  If they have a way to fight the undead, we gotta recover it!",,,,,,,,,,,,几天前，我的一个侦察员带来了一个几乎死去的科学家.可怜的家伙死了，但我能在他死之前和他说，.他有点发疯了，对疫情爆发时他一直在做的实验大喊大叫，他发誓他知道它要来了，而且正在努力想办法对付僵尸！他埋了一个装置，可以把人引向伪装的军事设施，幸存者，我们不能放弃这个，如果他们有办法对付不死生物，我们必须找回它！,,
quest_MilitarySecrets,Quest,Quest Info,,,"Military Secrets",,,,,,,,,,,,军事机密,,
quest_PowerHomingBeacon,Quest,Quest Info,,,"Power the Homing Device",,,,,,,,,,,,为定位设备供电,,
quest_PowerHomingBeacon_description,Quest,Quest Info,,,"Find a battery, and power the device.",,,,,,,,,,,,使用电池，为设备供电,,
quest_PowerHomingBeacon_subtitle,Quest,Quest Info,,,"Insert a Battery",,,,,,,,,,,,插入电池,,
meleePyrofocus,items,perk book,,,"Pyrofocus",,,,,,,,,,,,火焰山的土,,
meleePyrofocusDesc,items,perk book,,,"A powerful channeling device for creating spontaneous combusion effects at a heavy stamina cost.\n\nRequires: Pyrokinesis Mutation",,,,,,,,,,,,一块产于火焰山的土，以巨大的耐力代价创造自发战斗效果，需要：精神火力,,
