Key,Source,Context,Changes,English,schinese
AC'SVEHICLE#4Placeable Description,items,,,,AC4号车辆
AC'SVEHICLE#5Chassis,items,,,AC'SVEHICLE#5Chassis,AC5号车辆底盘
AC'SVEHICLE#5Chassis Description,items,,,,AC5号车辆底盘
AC'SVEHICLE#5Placeable,items,,,AC'SVEHICLE#5Placeable,AC5号车辆
AC'SVEHICLE#5Placeable Description,items,,,,AC5号车辆
AC'SVEHICLE#6Chassis,items,,,AC'SVEHICLE#6Chassis,AC6号车辆底盘
AC'SVEHICLE#6Chassis Description,items,,,,AC6号车辆底盘
AC'SVEHICLE#6Placeable,items,,,AC'SVEHICLE#6Placeable,AC6号车辆
AC'SVEHICLE#6Placeable Description,items,,,,AC6号车辆
AC'SVEHICLE#7Chassis,items,,,AC'SVEHICLE#7Chassis,AC7号车辆底盘
AC'SVEHICLE#7Chassis Description,items,,,,AC7号车辆底盘
AC'SVEHICLE#7Placeable,items,,,AC'SVEHICLE#7Placeable,AC7号车辆
AC'SVEHICLE#7Placeable Description,items,,,,AC7号车辆
AC'SVEHICLE#8Chassis,items,,,AC'SVEHICLE#8Chassis,AC8号车辆底盘
AC'SVEHICLE#8Chassis Description,items,,,,AC8号车辆底盘
AC'SVEHICLE#8Placeable,items,,,AC'SVEHICLE#8Placeable,AC8号车辆
AC'SVEHICLE#8Placeable Description,items,,,,AC8号车辆
AC'SVEHICLE#9Chassis,items,,,AC'SVEHICLE#9Chassis,AC9号车辆底盘
AC'SVEHICLE#9Chassis Description,items,,,,AC9号车辆底盘
AC'SVEHICLE#9Placeable,items,,,AC'SVEHICLE#9Placeable,AC9号车辆
AC'SVEHICLE#9Placeable Description,items,,,,AC9号车辆
AC'SVEHICLE#10Chassis,items,,,AC'SVEHICLE#10Chassis,AC10号车辆底盘
AC'SVEHICLE#10Chassis Description,items,,,,AC10号车辆底盘
AC'SVEHICLE#10Placeable,items,,,AC'SVEHICLE#10Placeable,AC10号车辆
AC'SVEHICLE#10Placeable Description,items,,,,AC10号车辆
AC'SVEHICLEEngineParts,items,,,AC'SVEHICLEEngineParts,AC的汽车发动机零件
AC'SVEHICLEEngineParts Description,items,,,,AC的汽车发动机零件
AC'SVEHICLEEngineBlock,items,,,AC'SVEHICLEEngineBlock,AC的车辆发动机组
AC'SVEHICLEEngineBlock Description,items,,,,AC的车辆发动机组
AC'SVEHICLECrankShaft,items,,,AC'SVEHICLECrankShaft,AC的车辆曲柄轴
AC'SVEHICLECrankShaft Description,items,,,,AC的车辆曲柄轴
AC'SVEHICLECylinderHead,items,,,AC'SVEHICLECylinderHead,AC的车辆气缸盖
AC'SVEHICLECylinderHead Description,items,,,,AC的车辆气缸盖
AC'SVEHICLECamShaft,items,,,AC'SVEHICLECamShaft,AC的汽车凸轮轴
AC'SVEHICLECamShaft Description,items,,,,AC的汽车凸轮轴
AC'SVEHICLEEnginePiston,items,,,AC'SVEHICLEEnginePiston,AC的汽车发动机活塞
AC'SVEHICLEEnginePiston Description,items,,,,AC的汽车发动机活塞
AC'SVEHICLEToolSockets,items,,,AC'SVEHICLEToolSockets,AC的车辆工具插座
AC'SVEHICLEToolSockets Description,items,,,,AC的车辆工具插座
AC'SVEHICLEEngineAssembly,items,,,AC'SVEHICLEEngineAssembly,AC的车辆发动机
AC'SVEHICLEEngineAssembly Description,items,,,,AC的车辆发动机
AC'SVEHICLECarburetor,items,,,AC'SVEHICLECarburetor,AC汽车化油器
AC'SVEHICLECarburetor Description,items,,,,AC汽车化油器
AC'SVEHICLEFuelPump,items,,,AC'SVEHICLEFuelPump,AC车辆燃油泵
AC'SVEHICLEFuelPump Description,items,,,,AC车辆燃油泵
AC'SVEHICLESparkPlugs,items,,,AC'SVEHICLESparkPlugs,AC车辆电源插头
AC'SVEHICLESparkPlugs Description,items,,,,AC车辆电源插头
AC'SVEHICLETimingBelt,items,,,AC'SVEHICLETimingBelt,AC汽车交流同步带
AC'SVEHICLETimingBelt Description,items,,,,AC汽车交流同步带
AC'SVEHICLEPistonRings,items,,,AC'SVEHICLEPistonRings,AC汽车活塞环
AC'SVEHICLEPistonRings Description,items,,,,AC汽车活塞环
AC'SVEHICLEOldParts,items,,,AC'SVEHICLEOldParts,AC汽车旧零件
AC'SVEHICLEOldParts Description,items,,,,AC汽车旧零件
AC'SVEHICLEBatteryplugs,items,,,AC'SVEHICLEBatteryplugs,AC汽车电池插头
AC'SVEHICLEBatteryplugs Description,items,,,,AC汽车电池插头
AC'SVEHICLE#1ChassisSchematic,items,,,AC'SVEHICLE#1ChassisSchematic,AC的1号车辆底盘示意图
AC'SVEHICLE#1ChassisSchematic Description,items,,,,AC的1号车辆底盘示意图
AC'SVEHICLE#2ChassisSchematic,items,,,AC'SVEHICLE#2ChassisSchematic,AC的2号车辆底盘示意图
AC'SVEHICLE#2ChassisSchematic Description,items,,,,AC的2号车辆底盘示意图
AC'SVEHICLE#3ChassisSchematic,items,,,AC'SVEHICLE#3ChassisSchematic,AC的3号车辆底盘示意图
AC'SVEHICLE#3ChassisSchematic Description,items,,,,AC的3号车辆底盘示意图
AC'SVEHICLE#4ChassisSchematic,items,,,AC'SVEHICLE#4ChassisSchematic,AC的4号车辆底盘示意图
AC'SVEHICLE#4ChassisSchematic Description,items,,,,AC的4号车辆底盘示意图
AC'SVEHICLE#5ChassisSchematic,items,,,AC'SVEHICLE#5ChassisSchematic,AC的5号车辆底盘示意图
AC'SVEHICLE#5ChassisSchematic Description,items,,,,AC的5号车辆底盘示意图
AC'SVEHICLE#6ChassisSchematic,items,,,AC'SVEHICLE#6ChassisSchematic,AC的6号车辆底盘示意图
AC'SVEHICLE#6ChassisSchematic Description,items,,,,AC的6号车辆底盘示意图
AC'SVEHICLE#7ChassisSchematic,items,,,AC'SVEHICLE#7ChassisSchematic,AC的7号车辆底盘示意图
AC'SVEHICLE#7ChassisSchematic Description,items,,,,AC的7号车辆底盘示意图
AC'SVEHICLE#8ChassisSchematic,items,,,AC'SVEHICLE#8ChassisSchematic,AC的8号车辆底盘示意图
AC'SVEHICLE#8ChassisSchematic Description,items,,,,AC的8号车辆底盘示意图
AC'SVEHICLE#9ChassisSchematic,items,,,AC'SVEHICLE#9ChassisSchematic,AC的9号车辆底盘示意图
AC'SVEHICLE#9ChassisSchematic Description,items,,,,AC的9号车辆底盘示意图
AC'SVEHICLE#10ChassisSchematic,items,,,AC'SVEHICLE#10ChassisSchematic,AC的10号车辆底盘示意图
AC'SVEHICLE#10ChassisSchematic Description,items,,,,AC的10号车辆底盘示意图
AC'SVEHICLEEnginePartsSchematic,items,,,AC'SVEHICLEEnginePartsSchematic,AC的汽车发动机零件示意图
AC'SVEHICLEEnginePartsSchematic Description,items,,,,AC的汽车发动机零件示意图
AC'SVEHICLEEngineBlockSchematic,items,,,AC'SVEHICLEEngineBlockSchematic,AC的车辆发动机组示意图
AC'SVEHICLEEngineBlockSchematic Description,items,,,,AC的车辆发动机组示意图
AC'SVEHICLECrankShaftSchematic,items,,,AC'SVEHICLECrankShaftSchematic,AC的车辆曲柄轴示意图
AC'SVEHICLECrankShaftSchematic Description,items,,,,AC的车辆曲柄轴示意图
AC'SVEHICLECylinderHeadSchematic,items,,,AC'SVEHICLECylinderHeadSchematic,AC的车辆气缸盖示意图
AC'SVEHICLECylinderHeadSchematic Description,items,,,,AC的车辆气缸盖示意图
AC'SVEHICLECamShaftSchematic,items,,,AC'SVEHICLECamShaftSchematic,AC的汽车凸轮轴示意图
AC'SVEHICLECamShaftSchematic Description,items,,,,AC的汽车凸轮轴示意图
AC'SVEHICLEEnginePistonSchematic,items,,,AC'SVEHICLEEnginePistonSchematic,AC的汽车发动机活塞示意图
AC'SVEHICLEEnginePistonSchematic Description,items,,,,AC的汽车发动机活塞示意图
AC'SVEHICLEToolSocketsSchematic,items,,,AC'SVEHICLEToolSocketsSchematic,AC的车辆工具插座示意图
AC'SVEHICLEToolSocketsSchematic Description,items,,,,AC的车辆工具插座示意图
AC'SVEHICLEEngineAssemblySchematic,items,,,AC'SVEHICLEEngineAssemblySchematic,AC的车辆发动机装配示意图
AC'SVEHICLEEngineAssemblySchematic Description,items,,,,AC的车辆发动机装配示意图
AC'SVEHICLECarburetorSchematic,items,,,AC'SVEHICLECarburetorSchematic,AC汽车化油器原理图
AC'SVEHICLECarburetorSchematic Description,items,,,,AC汽车化油器原理图
AC'SVEHICLEFuelPumpSchematic,items,,,AC'SVEHICLEFuelPumpSchematic,AC车辆燃油泵示意图
AC'SVEHICLEFuelPumpSchematic Description,items,,,,AC车辆燃油泵示意图
AC'SVEHICLESparkPlugsSchematic,items,,,AC'SVEHICLESparkPlugsSchematic,AC车辆电源插头示意图
AC'SVEHICLESparkPlugsSchematic Description,items,,,,AC车辆电源插头示意图
AC'SVEHICLETimingBeltSchematic,items,,,AC'SVEHICLETimingBeltSchematic,交流同步带原理图
AC'SVEHICLETimingBeltSchematic Description,items,,,,交流同步带原理图
AC'SVEHICLEPistonRingsSchematic,items,,,AC'SVEHICLEPistonRingsSchematic,AC车辆活塞环示意图
AC'SVEHICLEPistonRingsSchematic Description,items,,,,AC车辆活塞环示意图
AC'SVEHICLEOldPartsSchematic,items,,,AC'SVEHICLEOldPartsSchematic,AC车辆旧零件示意图
AC'SVEHICLEOldPartsSchematic Description,items,,,,AC车辆旧零件示意图
AC'SVEHICLEBatteryplugsSchematic,items,,,AC'SVEHICLEBatteryplugsSchematic,AC汽车电池插头原理图
AC'SVEHICLEBatteryplugsSchematic Description,items,,,,AC汽车电池插头原理图
ACGarageWorkBenchSchematic,items,,,ACGarageWorkBenchSchematic,ACG设备操作台示意图
ACGarageWorkBenchSchematic Description,items,,,,ACG设备操作台示意图
AC'SVEHICLE#1 Description,vehicles,,,,冲车
AC'SVEHICLE#2 Description,vehicles,,,,蓝色货车
AC'SVEHICLE#3 Description,vehicles,,,,装甲雪橇
AC'SVEHICLE#4,vehicles,,,AC'SVEHICLE#4,AC4号车
AC'SVEHICLE#4 Description,vehicles,,,,AC4号车
AC'SVEHICLE#5,vehicles,,,AC'SVEHICLE#5,AC5号车
AC'SVEHICLE#5 Description,vehicles,,,,AC5号车
AC'SVEHICLE#6,vehicles,,,AC'SVEHICLE#6,AC5号车
AC'SVEHICLE#6 Description,vehicles,,,,AC5号车
AC'SVEHICLE#7,vehicles,,,AC'SVEHICLE#7,AC7号车
AC'SVEHICLE#7 Description,vehicles,,,,AC7号车
AC'SVEHICLE#8,vehicles,,,AC'SVEHICLE#8,AC8号车
AC'SVEHICLE#8 Description,vehicles,,,,AC8号车
AC'SVEHICLE#9,vehicles,,,AC'SVEHICLE#9,AC9号车
AC'SVEHICLE#9 Description,vehicles,,,,AC9号车
AC'SVEHICLE#10,vehicles,,,AC'SVEHICLE#10,AC10号车
AC'SVEHICLE#10 Description,vehicles,,,,AC10号车
